case,N,P,nodes,io_avg,comm_avg,comp_avg,total_wall,iterations
hw1,64123483,12,1,0.989480,0.807123,2.930214,4.782780,7
hw1,64123483,12,2,0.573692,0.904884,2.928691,4.485429,7
hw1,64123483,12,3,0.554827,0.915869,2.920755,4.444502,7
hw1,64123483,12,4,0.556298,0.943200,2.900490,4.451655,7
