case,N,P,nodes,io_avg,comm_avg,comp_avg,total_wall,iterations
hw1,54323,1,1,0.017864,0.000022,0.059922,0.078051,1
hw1,54323,2,1,0.022326,0.001004,0.035079,0.059156,2
hw1,54323,3,1,0.033139,0.005042,0.027170,0.066245,3
hw1,54323,4,1,0.037030,0.003838,0.020624,0.062300,3
hw1,54323,5,1,0.044338,0.003896,0.018692,0.067739,4
hw1,54323,6,1,0.072677,0.003388,0.015544,0.092824,4
hw1,54323,7,1,0.093952,0.004237,0.015096,0.114703,5
hw1,54323,8,1,0.061997,0.003035,0.012976,0.078738,5
hw1,54323,9,1,0.073694,0.003772,0.012935,0.091315,6
hw1,54323,10,1,0.071763,0.003370,0.011536,0.087594,6
hw1,54323,11,1,0.087116,0.003424,0.011669,0.103358,7
hw1,54323,12,1,0.080560,0.003521,0.010545,0.095546,7
