thread,core,wall_s,cpu_s,rows,pixels,iters
0,3,85.944916,85.940986,1080,8294400,21616108955
1,1,85.943245,85.940208,1080,8294400,21615514939
2,2,85.944036,85.941125,1080,8294400,21617321450
3,0,85.944513,85.939654,1080,8294400,21615224811
