repeat,nprocs,threads,width,height,iters,left,right,lower,upper,total_s,compute_avg_s,comm_avg_s,post_root_s,io_root_s
1,1,6,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,74.408770,71.815883,0.024159,0.025792,2.438971
1,2,6,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,38.487866,35.646851,0.296824,0.026434,2.447735
1,3,6,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,26.573238,23.846119,0.204836,0.026438,2.432676
1,4,6,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,20.491797,17.787043,0.111708,0.026813,2.434310
