threads,repeat,threads,width,height,iters,left,right,lower,upper,total_s,compute_s,io_s
1,1,1,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,332.205631,329.769427,2.436204
2,1,2,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,167.212930,164.978784,2.234145
4,1,4,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,88.186281,85.945221,2.241059
8,1,8,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,47.477723,45.041108,2.436614
12,1,12,7680,4320,10000,-0.29312093251797128,-0.2741427339562606,-0.63371257432793893,-0.64296548812156951,33.486482,31.052330,2.434151
