thread,core,wall_s,cpu_s,rows,pixels,iters
0,6,45.040279,45.024376,582,4469760,11568614328
1,2,45.039503,45.031259,545,4185600,10993482692
2,7,45.038378,45.010700,575,4416000,11463392967
3,1,45.037150,45.035024,523,4016640,10488879337
4,3,45.034162,45.032321,523,4016640,10488254030
5,4,45.028831,45.025052,524,4024320,10486842987
6,5,45.040612,45.035733,524,4024320,10488122013
7,0,45.032428,45.029375,524,4024320,10486581801
