rank,node,threads,local_rows,pixels,iters,total_s,compute_s,comm_s,post_s,io_s
0,apollo13,6,2160,16588800,43240238409,38.487866,35.891094,0.035570,0.026434,2.447735
1,apollo14,6,2160,16588800,43223931746,36.013366,35.402608,0.558078,0.000000,0.000000
