rank,node,threads,local_rows,pixels,iters,total_s,compute_s,comm_s,post_s,io_s
0,apollo07,6,1440,11059200,28830157703,26.573238,23.958227,0.075313,0.026438,2.432676
1,apollo07,6,1440,11059200,28821439658,24.098330,23.878952,0.172541,0.000000,0.000000
2,apollo11,6,1440,11059200,28812572794,24.114389,23.701178,0.366654,0.000000,0.000000
