case,N,P,nodes,io_avg,comm_avg,comp_avg,total_wall,iterations
hw1,54923,1,1,0.038795,0.000023,0.059593,0.098632,1
hw1,54923,2,1,0.023086,0.000763,0.035371,0.059702,2
hw1,54923,4,1,0.038499,0.004010,0.020990,0.063995,3
hw1,54923,8,1,0.056271,0.003206,0.013231,0.073229,5
hw1,54923,1,2,0.016985,0.000023,0.059816,0.077044,1
hw1,54923,2,2,0.020815,0.028352,0.035592,0.059490,2
hw1,54923,4,2,0.042966,0.114299,0.020987,0.070961,3
hw1,54923,8,2,0.104620,0.115422,0.013220,0.124183,5
