repeat,nprocs,threads,width,height,iters,left,right,lower,upper,total_s,compute_avg_s,comm_avg_s,post_root_s,io_root_s,enhancement
1,1,6,7680,4320,10000,-0.293120933,-0.274142734,-0.633712574,-0.642965488,74.40877,71.815883,0.024159,0.025792,2.438971,1
1,2,6,7680,4320,10000,-0.293120933,-0.274142734,-0.633712574,-0.642965488,38.487866,35.646851,0.296824,0.026434,2.447735,2.014648727
1,3,6,7680,4320,10000,-0.293120933,-0.274142734,-0.633712574,-0.642965488,26.573238,23.846119,0.204836,0.026438,2.432676,3.011638204
1,4,6,7680,4320,10000,-0.293120933,-0.274142734,-0.633712574,-0.642965488,20.491797,17.787043,0.111708,0.026813,2.43431,4.03753918
